uuid,w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,seed,A,B,C,D,E,Ltx_uH,Lrx1_uH,Lrx2_uH,M1,M2,k1,k2,Lmt_uH,Lmr1_uH,Lmr2_uH,Llt_uH,Llr1_uH,Llr2_uH,Copperloss_Tx,Copperloss_Rx_1,Copperloss_Rx_2,Coreloss_W,B_mean_leg_left,B_mean_leg_center,B_mean_leg_right,B_mean_leg_top_left,B_mean_leg_bottom_left,B_mean_leg_top_right,B_mean_leg_bottom_right
784bb331-ee32-4499-9e64-c51ec7bd8da4,6.8,9.4,4.6,24.8,11.6,38.8,0.0,0.51,14.0,29.0,0.07,0.04,2.0,21.0,0.105,0.06,0.1,0.19,1.4,3.6,3.9,3.6,21.0,12.0,3.8,2.0,2.8,4.3,0.62,3.1,2267466336,66.8,48.0,24.8,24.0,19.4,190.401758027333,7.71843941904261,7.71962461269313,37.2272373625695,37.2272278843041,0.971092458639498,0.971017662658669,179.552773094252,7.27864708817522,7.27864338180618,10.8489849330806,0.439792330867386,0.44098123088695,8.33901005457861,2.56456058330659,0.542548712244629,12.4531,0.12824731262087,0.119769561355435,0.152606430617817,0.330595738845898,0.330562747588778,0.331090079758204,0.332024513299642
828dc735-540a-4ec4-b2f5-8c7b12ed723e,47.6,8.2,8.2,11.6,22.4,41.2,0.0,0.51,14.0,33.0,0.07,0.07,2.0,24.0,0.105,0.01,0.1,0.28,2.9,2.2,3.8,4.9,30.0,25.0,4.9,0.9,4.9,3.2,0.77,3.5,1068816712,72.8,56.4,11.6,28.8,20.6,812.425789435332,32.739467610384,32.7414179647172,161.471632533229,161.471869133917,0.99007610504226,0.990048066664197,796.380943735216,32.0928858389244,32.0929798889357,16.0448457001162,0.646581771459604,0.648438075781509,6.91900673855055,,,0.000770818,0.0123074105720711,0.0406751278667761,0.0290903885811989,0.0282913623798663,0.0265644990497561,0.0349009598310336,0.0320124343086329
5309bc72-e965-4a0f-962b-9fb216caf476,42.8,4.6,5.8,2.0,5.6,28.0,0.0,0.5,14.0,33.0,0.175,0.03,2.0,25.0,0.14,0.04,0.1,0.22,0.7,1.4,2.1,2.4,8.0,16.0,2.8,2.2,0.3,3.4,0.39,1.0,452969387,22.4,13.2,2.0,19.8,14.0,208.061127036655,8.50889509226162,8.51526995686235,41.0849523881723,41.0842758277962,0.976451619579744,0.976069972630538,198.377497246794,8.1128721005198,8.11260490767731,9.68362978986141,0.396022991741816,0.40266504918504303,6.60628210053171,6.82541308643451,0.931844045103288,5.09792,0.0410908055310296,0.217666330269831,0.0564990668674434,0.046007003208278,0.0454095057167093,0.0463501337358269,0.0472988952007703
3ac14fcb-4a5e-4774-939f-902de1a6fae8,38.0,3.4,11.8,8.0,14.0,47.2,0.0,0.5,14.0,18.0,0.07,0.07,2.0,17.0,0.14,0.06,0.1,0.27,1.7,2.2,3.4,3.8,27.0,17.0,2.4,1.5,1.1,3.9,0.16,1.7,1674786640,42.8,36.0,8.0,35.400000000000006,23.6,381.94369042952,15.5395252633485,15.5433331623711,75.6566933141205,75.6560250841648,0.982039174252796,0.981910201262283,368.346853988349,14.9863327675081,14.9860680381942,13.5968364411712,0.553192495840396,0.557265124176892,33.566413800698,4.36255178479263,0.696971372403934,1.97603,0.0604063807560513,0.0679069460726727,0.0784184465767096,0.0234544440621955,0.0237958904077341,0.0233270911352972,0.0233857802604003
ff542d25-f61e-4eb2-b0cd-ae110552edab,32.0,3.4,11.8,11.6,21.2,30.4,0.0,0.5,14.0,17.0,0.14,0.06,2.0,23.0,0.105,0.07,0.1,0.41,1.4,2.2,4.1,3.1,6.0,20.0,4.1,2.6,2.9,0.5,0.13,2.7,2654401373,60.8,54.0,11.6,27.0,15.2,412.90641474712,16.6998807028351,16.7037673030231,81.9993234152834,81.9990927184293,0.987478775073488,0.987361108217667,402.630962472849,16.2842930030095,16.2842013746953,10.2754522742715,0.41558769982564403,0.419565928327783,16.3344394408628,6.61176633198287,2.23015175813449,1.44792,0.0609169417768129,0.0558563854536511,0.0904311113632369,0.0274846884454479,0.0274959600878906,0.0277897975336043,0.0279378922999606
9762508f-38f2-47d2-a862-6782f9890fc7,27.2,5.8,10.6,3.2,6.8,4.0,0.0,0.5,14.0,28.0,0.175,0.02,2.0,15.0,0.175,0.03,0.1,0.22,0.6,0.9,2.3,4.3,14.0,26.0,0.5,2.9,2.4,0.3,0.17,1.8,4228639066,28.4,16.8,3.2,12.6,2.0,208.771916701491,8.56636716251868,8.57172925439069,41.6721150126682,41.6728545325159,0.985396831485575,0.985106054630568,202.718974879716,8.31800175553326,8.31829698326388,6.05294182177521,0.248365406985416,0.253432271126807,7.95774421217162,2.97555697487048,0.726255049210268,1.11348,0.0522088764670924,0.224400519226349,0.0678143991286248,0.037587373149981,0.037226277658887,0.0373480461275707,0.0374101598344547
8d2e014d-a704-4d03-b07c-08255d6e66c3,51.2,4.6,11.8,9.2,15.2,7.6,0.0,0.5,14.0,9.0,0.035,0.03,2.0,25.0,0.14,0.06,0.1,0.45,1.7,0.6,3.4,1.9,2.0,18.0,3.4,1.7,4.5,1.9,0.49,1.8,1753532540,48.8,39.599999999999994,9.2,15.600000000000001,3.8,701.24914562938,28.4323202540104,28.4378451823753,139.669511467003,139.668290832042,0.98914347480557,0.989038740595176,686.105539722166,27.8183190026178,27.8178327710273,15.1436059072137,0.61400125139259,0.620012411347993,23.1236340044393,5.10970340291766,1.0959917714556,0.00023199100000000002,0.0354570740359945,0.0427313924744663,0.0428996367233329,0.0173032590891617,0.0173084106442123,0.0173498220068291,0.0174145820887602
5619e7c0-54df-41bd-af50-8168e9edc43e,24.8,3.4,13.0,8.0,14.0,53.2,0.0,0.5,14.0,21.0,0.14,0.1,2.0,13.0,0.14,0.04,0.1,0.17,0.8,1.6,3.0,2.4,23.0,25.0,1.6,0.8,3.1,2.1,0.15,2.1,2765070392,42.8,36.0,8.0,39.6,26.6,257.174063458173,10.4312888751875,10.4341266731511,51.077711559907,51.0782947032956,0.986163357398696,0.986040500793278,250.106448916665,10.1446179413088,10.1448495805295,7.06761454150813,0.286670933878749,0.289277092621594,12.6270203112667,2.8176596799645,0.486702684836403,4.23993,0.0828231514445832,0.10273267848994,0.120345872228273,0.0315623654220358,0.0327027111979822,0.0311400688427196,0.0314002133203245
e648a756-44af-4395-a631-8ecb9c57f323,44.0,5.8,7.0,3.2,5.6,49.6,0.0,0.51,14.0,27.0,0.07,0.03,2.0,15.0,0.175,0.06,0.1,0.34,0.7,3.3,2.5,3.2,2.0,15.0,3.0,4.8,1.0,2.6,0.24,1.8,338330192,25.999999999999996,14.399999999999999,3.2,31.8,24.8,,,,,,,,,,,,,,23.4601506121493,3.95686937744737,1.04537489964915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7956b00e-f49b-4e7b-89a2-92a0c5f929a8,24.8,9.4,11.8,20.0,24.8,42.4,0.0,0.5,14.0,33.0,0.07,0.06,2.0,28.0,0.105,0.09,0.1,0.31,2.9,3.9,5.0,4.4,11.0,10.0,3.5,1.8,0.9,2.5,0.22,4.1,2320040091,88.4,69.6,20.0,33.0,21.2,605.891840502646,24.3603763490695,24.3615824080947,119.941700875458,119.941962968177,0.987257983776546,0.987235702853622,590.549645159622,23.743530853565,23.7436346208672,15.3421953430241,0.616845495504532,0.6179477872275481,30.1418590903221,2.88430465433732,0.950265642195969,1.04109,0.0347437785278339,0.0417439607347105,0.0487896261773007,0.0373712403989119,0.0371867536816893,0.0353449316150569,0.0357119688177345
